Tipo de Movimiento;Planta;GUIA SII;Fecha;Mes;ID;Proveedor;Lote;Title;Nombre;Cod Nombre;Clasificacion;Total Pallet;Cantidad;Unidad de medida;Bod. Origen;Bod. Destino;Ubicacion Origen;Ubicación Destino;Turno;Responsable;Temporada;Observacion;Bodega Stock;Ubicacion Stock;Total Stock;Numero Embarque;Patente Camion,,,,,,
Despacho;Rancagua;31216;11/28/2024;11;16484;;CTAB1105;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Normal;1;5,6;UNIDAD;RANCO;CHIMBARONGO;CARPA DOS (C2);BODEGA PLANTA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA DOS (C2);-5,6;;,,,,
Despacho;Rancagua;31326;11/30/2024;11;18134;;RG2P24282;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;1;3,2;UNIDAD;RANCO;GREENPACK;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA DOS (C2);-3,2;;,,,,
Despacho;Rancagua;15262;01-10-2025;1;51088;;RPA2,5AP15262;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Por armar;1;14,4;UNIDAD;RANCO;CHIMBARONGO;CARPA DOS (C2);BODEGA PLANTA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;CARPA DOS (C2);-14,4;;,,,
Despacho;Rancagua;15271;1/17/2025;1;54351;;RG2R24254;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;25;75;UNIDAD;RANCO;CHIMBARONGO;BODEGA PLANTA;BODEGA PLANTA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;BODEGA PLANTA;-75;;,,,,,,
Despacho;Rancagua;15271;1/17/2025;1;54353;;MGBE25C69212;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;5;15;UNIDAD;RANCO;CHIMBARONGO;BODEGA PLANTA;BODEGA PLANTA;Turno 1;Bodega Planta;R9 2024-2025;;RANCO;BODEGA PLANTA;-15;;,,,,,,
Despacho;Rancagua;36979;7/22/2025;7;68605;;RSR25001;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;1;3,115;UNIDAD;RANCO;GREENPACK;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Inventario RCG;25 2025-2026;;RANCO;BODEGA PLANTA;-3,115;;,,,,
Despacho;Rancagua;36979;7/22/2025;7;68607;;MGB2VF69212;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;1;9,092;UNIDAD;RANCO;GREENPACK;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Inventario RCG;25 2025-2026;;RANCO;CARPA DOS (C2);-9,092;;,,,,
Despacho;Rancagua;36979;7/22/2025;7;68609;;RG2VL25001;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;3;14,4;UNIDAD;RANCO;GREENPACK;CARPA DOS (C2);BODEGA EXTERNA;Turno 1;Inventario RCG;25 2025-2026;;RANCO;CARPA DOS (C2);-14,4;;,,,,
Despacho;Chimbarongo;36986;7/23/2025;7;68698;;R9;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Por armar;4,2;4,2;UNIDAD;CHIMBARONGO;GREENPACK;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Inventario CBG;25 2025-2026;;CHIMBARONGO;BODEGA PLANTA;-4,2;;,,,
Despacho;Chimbarongo;36986;7/23/2025;7;68699;;R9;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Por armar;4,2;5,1;UNIDAD;CHIMBARONGO;GREENPACK;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Inventario CBG;25 2025-2026;;CHIMBARONGO;BODEGA PLANTA;-5,1;;,,,
Despacho;Chimbarongo;36986;7/23/2025;7;68700;;R9;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Por armar;4,8;4,8;UNIDAD;CHIMBARONGO;GREENPACK;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Inventario CBG;25 2025-2026;;CHIMBARONGO;BODEGA PLANTA;-4,8;;,,,
Despacho;Chimbarongo;36986;7/23/2025;7;68701;;R9;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Por armar;4,8;4,8;UNIDAD;CHIMBARONGO;GREENPACK;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Inventario CBG;25 2025-2026;;CHIMBARONGO;BODEGA PLANTA;-4,8;;,,,
Despacho;Chimbarongo;36986;7/23/2025;7;68702;;R9;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Por armar;4,8;4,8;UNIDAD;CHIMBARONGO;GREENPACK;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Inventario CBG;25 2025-2026;;CHIMBARONGO;BODEGA PLANTA;-4,8;;,,,
Despacho;Chimbarongo;36986;7/23/2025;7;68703;;R9;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Por armar;4,8;4,8;UNIDAD;CHIMBARONGO;GREENPACK;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Inventario CBG;25 2025-2026;;CHIMBARONGO;BODEGA PLANTA;-4,8;;,,,
Despacho;Rancagua;36997;08-01-2025;8;68752;;RG2VL25209;CTAB1105;ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;CTAB1105 ABSORPAD 2.5 KG. 230 X 260 MM MICROPERFORADO BILAM;Guagua;11;52,8;UNIDAD;RANCO;GREENPACK;BODEGA PLANTA;BODEGA EXTERNA;Turno 1;Bodega Planta;25 2025-2026;;RANCO;BODEGA PLANTA;-52,8;;,,,,
